Ticket,Requester,Requester_Seniority,It_Owner,Agent,Ticket_Type,Severity,Priority,Days_Open,Satisfaction
58,1271,2 - Regular,46,Systems,Issue,2 - Normal,3 - High,9,1 - Unsatisfied
59,1794,2 - Regular,36,Access/Login,Issue,2 - Normal,3 - High,0,0 - Unknown
60,1289,1 - Junior,9,Systems,Request,2 - Normal,1 - Low,14,0 - Unknown
61,469,2 - Regular,1,Systems,Request,2 - Normal,2 - Medium,14,0 - Unknown
62,846,3 - Senior,2,Software,Request,2 - Normal,3 - High,5,3 - Highly satisfied
63,1021,2 - Regular,40,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
64,39,4 - Management,6,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
65,1579,2 - Regular,16,Systems,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
66,1811,1 - Junior,18,Systems,Request,2 - Normal,0 - Unassigned,26,0 - Unknown
67,1142,2 - Regular,12,Access/Login,Request,1 - Minor,1 - Low,0,3 - Highly satisfied
68,479,2 - Regular,22,Software,Request,1 - Minor,2 - Medium,13,1 - Unsatisfied
69,1941,2 - Regular,5,Software,Request,4 - Critical,3 - High,3,3 - Highly satisfied
70,995,4 - Management,15,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
71,1099,2 - Regular,2,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
72,294,2 - Regular,21,Access/Login,Issue,2 - Normal,1 - Low,0,3 - Highly satisfied
73,228,4 - Management,47,Systems,Request,2 - Normal,3 - High,5,1 - Unsatisfied
74,176,3 - Senior,35,Access/Login,Request,4 - Critical,3 - High,1,3 - Highly satisfied
75,1883,2 - Regular,1,Software,Request,2 - Normal,1 - Low,9,3 - Highly satisfied
76,668,2 - Regular,18,Access/Login,Request,2 - Normal,1 - Low,0,2 - Satisfied
77,1178,1 - Junior,25,Systems,Request,4 - Critical,0 - Unassigned,17,0 - Unknown
78,1065,2 - Regular,44,Access/Login,Issue,2 - Normal,2 - Medium,1,2 - Satisfied
79,839,4 - Management,16,Hardware,Issue,2 - Normal,3 - High,8,1 - Unsatisfied
80,1100,2 - Regular,24,Software,Request,2 - Normal,1 - Low,6,2 - Satisfied
81,1982,3 - Senior,27,Systems,Request,2 - Normal,0 - Unassigned,6,3 - Highly satisfied
82,1599,2 - Regular,35,Hardware,Issue,2 - Normal,1 - Low,14,0 - Unknown
83,721,1 - Junior,13,Software,Request,2 - Normal,0 - Unassigned,13,0 - Unknown
84,886,2 - Regular,36,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
85,598,1 - Junior,23,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
86,77,2 - Regular,44,Systems,Request,2 - Normal,0 - Unassigned,7,1 - Unsatisfied
87,1058,4 - Management,39,Access/Login,Request,3 - Major,0 - Unassigned,0,0 - Unknown
88,643,1 - Junior,35,Systems,Request,2 - Normal,1 - Low,16,1 - Unsatisfied
89,1413,2 - Regular,23,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
90,420,3 - Senior,46,Systems,Issue,2 - Normal,0 - Unassigned,9,0 - Unknown
91,1903,1 - Junior,6,Systems,Request,2 - Normal,0 - Unassigned,13,0 - Unknown
92,448,4 - Management,19,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
93,68,4 - Management,31,Software,Request,2 - Normal,3 - High,7,3 - Highly satisfied
94,81,1 - Junior,37,Software,Request,2 - Normal,3 - High,4,0 - Unknown
95,806,3 - Senior,28,Systems,Request,2 - Normal,3 - High,16,0 - Unknown
96,173,4 - Management,7,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
97,434,3 - Senior,28,Access/Login,Request,2 - Normal,2 - Medium,1,1 - Unsatisfied
98,1653,2 - Regular,41,Systems,Request,2 - Normal,3 - High,8,3 - Highly satisfied
99,1167,2 - Regular,35,Systems,Request,2 - Normal,1 - Low,16,3 - Highly satisfied
100,634,2 - Regular,21,Software,Request,2 - Normal,2 - Medium,7,3 - Highly satisfied
101,1219,2 - Regular,2,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
102,355,4 - Management,32,Software,Request,2 - Normal,3 - High,4,1 - Unsatisfied
103,1272,3 - Senior,29,Hardware,Request,2 - Normal,0 - Unassigned,10,3 - Highly satisfied
104,1694,3 - Senior,46,Access/Login,Issue,2 - Normal,0 - Unassigned,3,1 - Unsatisfied
105,1884,2 - Regular,3,Systems,Request,2 - Normal,0 - Unassigned,22,1 - Unsatisfied
106,71,1 - Junior,15,Systems,Request,3 - Major,1 - Low,8,0 - Unknown
107,1815,2 - Regular,2,Hardware,Request,2 - Normal,2 - Medium,11,0 - Unknown
108,913,3 - Senior,8,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
109,1652,4 - Management,9,Access/Login,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
110,1857,2 - Regular,29,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
111,245,1 - Junior,4,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
112,366,1 - Junior,22,Hardware,Request,2 - Normal,1 - Low,31,1 - Unsatisfied
113,264,4 - Management,39,Access/Login,Request,2 - Normal,0 - Unassigned,0,1 - Unsatisfied
114,1678,4 - Management,44,Systems,Request,2 - Normal,3 - High,8,3 - Highly satisfied
115,1206,2 - Regular,4,Systems,Request,2 - Normal,3 - High,16,3 - Highly satisfied
116,837,4 - Management,21,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
117,1637,3 - Senior,11,Systems,Request,2 - Normal,0 - Unassigned,6,1 - Unsatisfied
118,1585,3 - Senior,24,Systems,Request,2 - Normal,3 - High,6,3 - Highly satisfied
119,721,1 - Junior,14,Access/Login,Request,2 - Normal,1 - Low,1,1 - Unsatisfied
120,230,2 - Regular,21,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
121,1286,4 - Management,44,Hardware,Request,2 - Normal,3 - High,16,3 - Highly satisfied
122,1959,2 - Regular,14,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
123,188,2 - Regular,44,Systems,Request,2 - Normal,1 - Low,8,3 - Highly satisfied
124,1575,2 - Regular,37,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
125,717,2 - Regular,35,Software,Request,2 - Normal,0 - Unassigned,17,3 - Highly satisfied
126,1066,4 - Management,49,Systems,Request,2 - Normal,3 - High,21,2 - Satisfied
127,1637,3 - Senior,37,Software,Issue,2 - Normal,0 - Unassigned,2,1 - Unsatisfied
128,307,4 - Management,7,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
129,241,3 - Senior,33,Systems,Issue,2 - Normal,3 - High,3,3 - Highly satisfied
130,57,2 - Regular,11,Software,Request,2 - Normal,2 - Medium,17,3 - Highly satisfied
131,680,1 - Junior,24,Systems,Request,1 - Minor,0 - Unassigned,9,0 - Unknown
132,795,2 - Regular,31,Hardware,Request,2 - Normal,0 - Unassigned,10,0 - Unknown
133,285,2 - Regular,39,Systems,Request,2 - Normal,0 - Unassigned,21,1 - Unsatisfied
134,173,4 - Management,7,Systems,Request,2 - Normal,3 - High,16,1 - Unsatisfied
135,1948,3 - Senior,35,Access/Login,Request,2 - Normal,2 - Medium,0,0 - Unknown
136,600,4 - Management,37,Access/Login,Request,2 - Normal,2 - Medium,1,1 - Unsatisfied
137,346,3 - Senior,12,Software,Request,3 - Major,2 - Medium,13,2 - Satisfied
138,1512,3 - Senior,41,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
139,1448,2 - Regular,43,Software,Issue,2 - Normal,1 - Low,3,3 - Highly satisfied
140,1721,1 - Junior,11,Systems,Issue,2 - Normal,1 - Low,4,1 - Unsatisfied
141,946,1 - Junior,50,Software,Request,2 - Normal,2 - Medium,8,0 - Unknown
142,1914,3 - Senior,20,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
143,1700,1 - Junior,15,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
144,1451,1 - Junior,31,Hardware,Request,2 - Normal,0 - Unassigned,10,2 - Satisfied
145,740,2 - Regular,8,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
146,825,2 - Regular,30,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
147,325,4 - Management,12,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
148,1098,2 - Regular,24,Systems,Request,2 - Normal,2 - Medium,5,0 - Unknown
149,761,1 - Junior,23,Systems,Request,2 - Normal,1 - Low,13,0 - Unknown
150,1900,4 - Management,27,Systems,Request,2 - Normal,3 - High,9,2 - Satisfied
151,584,2 - Regular,10,Software,Issue,2 - Normal,3 - High,5,0 - Unknown
152,600,4 - Management,44,Systems,Request,2 - Normal,0 - Unassigned,10,0 - Unknown
153,718,2 - Regular,19,Access/Login,Request,2 - Normal,0 - Unassigned,1,0 - Unknown
154,1315,3 - Senior,49,Systems,Request,2 - Normal,2 - Medium,18,3 - Highly satisfied
155,1594,3 - Senior,6,Software,Issue,4 - Critical,3 - High,3,2 - Satisfied
156,278,2 - Regular,17,Systems,Request,2 - Normal,3 - High,5,2 - Satisfied
157,1282,1 - Junior,23,Access/Login,Issue,2 - Normal,0 - Unassigned,0,0 - Unknown
158,1646,2 - Regular,30,Systems,Request,2 - Normal,3 - High,5,0 - Unknown
159,1781,4 - Management,16,Software,Request,3 - Major,3 - High,4,3 - Highly satisfied
160,900,4 - Management,25,Systems,Issue,2 - Normal,3 - High,10,3 - Highly satisfied
161,916,4 - Management,35,Systems,Request,2 - Normal,1 - Low,6,2 - Satisfied
162,2000,2 - Regular,15,Access/Login,Request,2 - Normal,2 - Medium,0,0 - Unknown
163,1458,1 - Junior,34,Systems,Request,2 - Normal,1 - Low,8,0 - Unknown
164,97,2 - Regular,16,Access/Login,Request,2 - Normal,3 - High,0,3 - Highly satisfied
165,1464,3 - Senior,7,Software,Request,2 - Normal,0 - Unassigned,15,0 - Unknown
166,1749,2 - Regular,25,Hardware,Request,2 - Normal,1 - Low,31,2 - Satisfied
167,351,2 - Regular,5,Systems,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
168,795,2 - Regular,46,Software,Request,2 - Normal,3 - High,8,0 - Unknown
169,1822,2 - Regular,13,Access/Login,Issue,3 - Major,3 - High,0,0 - Unknown
170,272,2 - Regular,40,Software,Request,2 - Normal,3 - High,2,2 - Satisfied
171,1930,2 - Regular,21,Systems,Request,2 - Normal,1 - Low,6,0 - Unknown
172,387,2 - Regular,49,Software,Issue,2 - Normal,0 - Unassigned,2,1 - Unsatisfied
173,671,2 - Regular,42,Access/Login,Issue,2 - Normal,1 - Low,0,0 - Unknown
174,52,2 - Regular,26,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
175,874,4 - Management,1,Access/Login,Request,2 - Normal,3 - High,0,1 - Unsatisfied
176,1595,3 - Senior,38,Hardware,Request,2 - Normal,3 - High,11,0 - Unknown
177,1738,2 - Regular,42,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
178,519,3 - Senior,18,Access/Login,Request,2 - Normal,3 - High,0,2 - Satisfied
179,923,4 - Management,39,Software,Issue,2 - Normal,0 - Unassigned,4,0 - Unknown
180,1994,1 - Junior,2,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
181,570,2 - Regular,7,Systems,Request,2 - Normal,0 - Unassigned,14,1 - Unsatisfied
182,954,1 - Junior,3,Software,Request,2 - Normal,0 - Unassigned,12,0 - Unknown
183,446,1 - Junior,8,Hardware,Issue,2 - Normal,1 - Low,5,3 - Highly satisfied
184,908,1 - Junior,9,Hardware,Request,2 - Normal,3 - High,12,3 - Highly satisfied
185,778,1 - Junior,23,Hardware,Issue,2 - Normal,0 - Unassigned,15,2 - Satisfied
186,1201,1 - Junior,8,Software,Request,2 - Normal,2 - Medium,6,2 - Satisfied
187,46,4 - Management,6,Access/Login,Request,2 - Normal,3 - High,1,0 - Unknown
188,992,1 - Junior,38,Systems,Issue,2 - Normal,0 - Unassigned,3,1 - Unsatisfied
189,678,3 - Senior,23,Systems,Request,2 - Normal,3 - High,6,2 - Satisfied
190,1793,1 - Junior,11,Access/Login,Issue,3 - Major,0 - Unassigned,0,2 - Satisfied
191,1441,3 - Senior,14,Access/Login,Request,2 - Normal,0 - Unassigned,2,1 - Unsatisfied
192,774,2 - Regular,7,Systems,Request,2 - Normal,2 - Medium,16,1 - Unsatisfied
193,349,2 - Regular,46,Systems,Request,2 - Normal,1 - Low,20,2 - Satisfied
194,1051,4 - Management,10,Hardware,Issue,2 - Normal,0 - Unassigned,9,1 - Unsatisfied
195,1709,2 - Regular,21,Hardware,Request,3 - Major,0 - Unassigned,10,0 - Unknown
196,1514,3 - Senior,26,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
197,856,2 - Regular,11,Systems,Issue,2 - Normal,3 - High,4,2 - Satisfied
198,1019,2 - Regular,50,Access/Login,Request,2 - Normal,0 - Unassigned,1,1 - Unsatisfied
199,901,4 - Management,29,Access/Login,Request,3 - Major,0 - Unassigned,1,3 - Highly satisfied
200,359,1 - Junior,48,Systems,Request,2 - Normal,1 - Low,12,0 - Unknown
201,525,4 - Management,33,Software,Request,2 - Normal,3 - High,2,3 - Highly satisfied
202,1192,3 - Senior,20,Hardware,Issue,0 - Unclassified,3 - High,5,2 - Satisfied
203,177,3 - Senior,24,Systems,Request,2 - Normal,2 - Medium,5,3 - Highly satisfied
204,1936,2 - Regular,8,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
205,322,3 - Senior,14,Hardware,Request,2 - Normal,0 - Unassigned,12,0 - Unknown
206,1427,2 - Regular,37,Systems,Request,2 - Normal,3 - High,19,1 - Unsatisfied
207,1452,1 - Junior,15,Software,Request,2 - Normal,3 - High,4,0 - Unknown
208,1400,2 - Regular,47,Hardware,Request,2 - Normal,1 - Low,11,0 - Unknown
209,1792,1 - Junior,46,Hardware,Request,2 - Normal,0 - Unassigned,32,0 - Unknown
210,1445,2 - Regular,44,Systems,Request,2 - Normal,3 - High,5,1 - Unsatisfied
211,712,4 - Management,24,Hardware,Request,2 - Normal,3 - High,12,3 - Highly satisfied
212,454,4 - Management,18,Systems,Issue,3 - Major,3 - High,2,0 - Unknown
213,1415,2 - Regular,43,Access/Login,Request,2 - Normal,1 - Low,1,3 - Highly satisfied
214,961,3 - Senior,1,Software,Issue,3 - Major,2 - Medium,7,0 - Unknown
215,844,1 - Junior,25,Systems,Request,2 - Normal,0 - Unassigned,13,0 - Unknown
216,569,3 - Senior,11,Software,Request,2 - Normal,3 - High,2,0 - Unknown
217,1527,1 - Junior,9,Software,Request,2 - Normal,1 - Low,6,2 - Satisfied
218,913,3 - Senior,28,Software,Issue,2 - Normal,3 - High,3,0 - Unknown
219,624,1 - Junior,30,Systems,Request,2 - Normal,1 - Low,14,1 - Unsatisfied
220,720,4 - Management,22,Systems,Request,2 - Normal,3 - High,18,0 - Unknown
221,1234,3 - Senior,29,Systems,Issue,1 - Minor,3 - High,1,1 - Unsatisfied
222,237,1 - Junior,37,Systems,Issue,2 - Normal,1 - Low,3,1 - Unsatisfied
223,483,4 - Management,16,Systems,Request,2 - Normal,3 - High,6,0 - Unknown
224,801,4 - Management,40,Systems,Request,2 - Normal,3 - High,12,3 - Highly satisfied
225,1796,1 - Junior,11,Access/Login,Request,2 - Normal,1 - Low,0,0 - Unknown
226,1544,2 - Regular,33,Access/Login,Request,1 - Minor,3 - High,0,1 - Unsatisfied
227,1801,3 - Senior,19,Software,Request,2 - Normal,3 - High,3,2 - Satisfied
228,630,1 - Junior,34,Access/Login,Issue,2 - Normal,2 - Medium,0,0 - Unknown
229,698,4 - Management,13,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
230,1566,2 - Regular,32,Software,Request,2 - Normal,0 - Unassigned,15,0 - Unknown
231,1860,1 - Junior,26,Systems,Request,2 - Normal,1 - Low,13,2 - Satisfied
232,524,2 - Regular,2,Systems,Request,2 - Normal,2 - Medium,8,0 - Unknown
233,507,2 - Regular,18,Software,Issue,2 - Normal,1 - Low,12,2 - Satisfied
234,1660,3 - Senior,39,Systems,Issue,2 - Normal,0 - Unassigned,18,0 - Unknown
235,705,2 - Regular,9,Access/Login,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
236,1859,3 - Senior,40,Hardware,Request,2 - Normal,0 - Unassigned,15,3 - Highly satisfied
237,142,2 - Regular,26,Access/Login,Request,2 - Normal,2 - Medium,0,3 - Highly satisfied
238,461,4 - Management,7,Software,Request,2 - Normal,2 - Medium,7,2 - Satisfied
239,683,4 - Management,25,Access/Login,Request,2 - Normal,3 - High,1,0 - Unknown
240,1411,4 - Management,20,Hardware,Request,2 - Normal,3 - High,13,3 - Highly satisfied
241,499,2 - Regular,33,Systems,Request,2 - Normal,3 - High,8,2 - Satisfied
242,1200,2 - Regular,3,Systems,Request,2 - Normal,1 - Low,18,3 - Highly satisfied
243,1438,2 - Regular,5,Software,Request,2 - Normal,1 - Low,9,0 - Unknown
244,1011,2 - Regular,32,Software,Issue,2 - Normal,2 - Medium,2,2 - Satisfied
245,1471,3 - Senior,48,Systems,Issue,2 - Normal,3 - High,1,2 - Satisfied
246,1401,2 - Regular,48,Systems,Request,2 - Normal,0 - Unassigned,6,0 - Unknown
247,1579,2 - Regular,17,Access/Login,Request,2 - Normal,0 - Unassigned,0,3 - Highly satisfied
248,704,2 - Regular,35,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
249,521,3 - Senior,9,Access/Login,Issue,2 - Normal,2 - Medium,0,0 - Unknown
250,1745,3 - Senior,12,Systems,Request,2 - Normal,3 - High,6,1 - Unsatisfied
251,1052,4 - Management,7,Access/Login,Request,2 - Normal,0 - Unassigned,0,2 - Satisfied
252,1025,3 - Senior,7,Systems,Request,2 - Normal,3 - High,21,3 - Highly satisfied
253,767,2 - Regular,1,Software,Request,2 - Normal,3 - High,13,0 - Unknown
254,817,4 - Management,16,Systems,Request,2 - Normal,3 - High,7,3 - Highly satisfied
255,1847,3 - Senior,8,Software,Issue,2 - Normal,3 - High,2,2 - Satisfied
256,1801,3 - Senior,45,Systems,Issue,2 - Normal,3 - High,1,3 - Highly satisfied
257,292,1 - Junior,48,Software,Request,2 - Normal,1 - Low,7,3 - Highly satisfied
258,1011,2 - Regular,42,Systems,Issue,2 - Normal,1 - Low,3,1 - Unsatisfied
259,73,4 - Management,35,Access/Login,Request,3 - Major,3 - High,0,2 - Satisfied
260,1373,3 - Senior,5,Software,Request,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
261,108,2 - Regular,19,Systems,Request,2 - Normal,3 - High,6,1 - Unsatisfied
262,1344,1 - Junior,45,Access/Login,Request,2 - Normal,1 - Low,0,3 - Highly satisfied
263,1990,1 - Junior,40,Systems,Request,3 - Major,3 - High,12,1 - Unsatisfied
264,1547,3 - Senior,30,Software,Request,2 - Normal,0 - Unassigned,2,0 - Unknown
265,1641,2 - Regular,26,Systems,Request,2 - Normal,2 - Medium,15,1 - Unsatisfied
266,1859,3 - Senior,32,Software,Request,2 - Normal,0 - Unassigned,6,0 - Unknown
267,1045,4 - Management,24,Access/Login,Request,4 - Critical,0 - Unassigned,0,0 - Unknown
268,166,2 - Regular,18,Access/Login,Issue,2 - Normal,2 - Medium,0,0 - Unknown
269,1591,3 - Senior,10,Hardware,Issue,2 - Normal,0 - Unassigned,7,2 - Satisfied
270,551,4 - Management,35,Systems,Issue,2 - Normal,0 - Unassigned,5,3 - Highly satisfied
271,1631,4 - Management,8,Systems,Request,2 - Normal,3 - High,7,3 - Highly satisfied
272,1002,4 - Management,40,Hardware,Request,2 - Normal,3 - High,15,3 - Highly satisfied
273,443,2 - Regular,3,Systems,Request,2 - Normal,3 - High,20,1 - Unsatisfied
274,562,3 - Senior,19,Access/Login,Request,2 - Normal,0 - Unassigned,1,3 - Highly satisfied
275,1185,2 - Regular,11,Systems,Request,1 - Minor,0 - Unassigned,5,2 - Satisfied
276,805,2 - Regular,41,Software,Issue,2 - Normal,1 - Low,3,3 - Highly satisfied
277,1878,1 - Junior,23,Systems,Request,2 - Normal,1 - Low,16,0 - Unknown
278,317,1 - Junior,19,Software,Request,2 - Normal,2 - Medium,8,0 - Unknown
279,676,2 - Regular,36,Access/Login,Request,2 - Normal,2 - Medium,0,0 - Unknown
280,1225,3 - Senior,41,Access/Login,Issue,2 - Normal,2 - Medium,1,1 - Unsatisfied
281,1315,3 - Senior,1,Access/Login,Issue,4 - Critical,0 - Unassigned,1,0 - Unknown
282,563,3 - Senior,35,Systems,Issue,2 - Normal,3 - High,7,2 - Satisfied
283,367,2 - Regular,5,Systems,Issue,2 - Normal,0 - Unassigned,7,3 - Highly satisfied
284,1966,2 - Regular,33,Hardware,Issue,2 - Normal,3 - High,5,0 - Unknown
285,167,4 - Management,34,Systems,Issue,2 - Normal,3 - High,2,3 - Highly satisfied
286,1184,1 - Junior,19,Software,Issue,2 - Normal,2 - Medium,1,2 - Satisfied
287,1177,2 - Regular,32,Systems,Request,2 - Normal,0 - Unassigned,6,1 - Unsatisfied
288,700,3 - Senior,32,Software,Request,2 - Normal,3 - High,2,2 - Satisfied
289,635,1 - Junior,25,Systems,Request,2 - Normal,1 - Low,18,0 - Unknown
290,1779,2 - Regular,26,Software,Issue,4 - Critical,3 - High,7,2 - Satisfied
291,1909,2 - Regular,44,Software,Request,2 - Normal,3 - High,4,1 - Unsatisfied
292,1968,1 - Junior,5,Access/Login,Request,2 - Normal,2 - Medium,0,0 - Unknown
293,1420,3 - Senior,24,Systems,Request,2 - Normal,0 - Unassigned,5,0 - Unknown
294,907,4 - Management,4,Systems,Request,2 - Normal,3 - High,23,1 - Unsatisfied
295,335,4 - Management,14,Software,Request,2 - Normal,3 - High,5,1 - Unsatisfied
296,640,2 - Regular,5,Hardware,Request,2 - Normal,0 - Unassigned,14,1 - Unsatisfied
297,1859,3 - Senior,25,Access/Login,Issue,2 - Normal,3 - High,0,3 - Highly satisfied
298,1095,2 - Regular,11,Software,Request,2 - Normal,0 - Unassigned,9,3 - Highly satisfied
299,1789,2 - Regular,48,Access/Login,Request,2 - Normal,0 - Unassigned,0,0 - Unknown
